Wall time,Step,Value
1500387725.6518526,5,0.1796875
1500387729.8834429,18,0.109375
1500387731.7841322,24,0.171875
1500387736.7507393,40,0.28125
1500387737.499899,42,0.203125
1500387738.4935312,45,0.25
1500387739.1347194,47,0.3359375
1500387740.9780376,53,0.4140625
1500387741.9719598,56,0.3828125
1500387747.2936797,71,0.4140625
1500387748.573054,74,0.34375
1500387750.392257,79,0.3671875
1500387752.5956743,87,0.4140625
1500387755.17784,94,0.4921875
1500387758.9264312,102,0.328125
1500387760.4999828,105,0.4140625
1500387760.859369,106,0.375
1500387763.9114282,113,0.4375
1500387769.223351,126,0.3984375
1500387773.1946206,139,0.3984375
1500387776.7659833,150,0.4140625
1500387778.339413,155,0.53125
1500387779.2099085,158,0.3125
1500387781.9117937,167,0.7109375
1500387782.0857596,168,0.7142857313156128
1500387789.310281,178,0.7578125
1500387790.6546385,183,0.7734375
1500387791.1882002,185,0.7421875
1500387791.5662618,186,0.765625
1500387793.0366304,190,0.7421875
1500387795.413433,198,0.6015625
1500387797.8252,206,0.7734375
1500387798.1712687,207,0.75
1500387799.6977313,212,0.671875
1500387803.3378677,223,0.8125
1500387805.010297,229,0.6953125
1500387807.0971224,234,0.71875
1500387808.1073277,237,0.8359375
1500387812.0240302,249,0.734375
1500387814.4822536,255,0.75
1500387816.3239956,260,0.7734375
1500387818.5227945,267,0.7109375
1500387819.6547422,271,0.6484375
1500387820.3805428,273,0.84375
1500387825.964649,292,0.3828125
1500387827.3672638,297,0.3671875
1500387827.6450748,298,0.3828125
1500387829.1744995,303,0.4375
1500387830.591168,308,0.3984375
1500387831.1444783,310,0.328125
1500387833.4118216,318,0.4453125
1500387833.6970882,319,0.40625
1500387836.0227895,326,0.7890625
1500387837.183823,330,0.71875
1500387843.92191,339,0.7890625
1500387846.73926,347,0.7578125
1500387852.3128047,363,0.71875
1500387854.1054597,367,0.71875
1500387857.5281382,377,0.765625
1500387858.251923,379,0.7265625
1500387874.8403018,421,0.3671875
1500387875.1293144,422,0.421875
1500387875.7969203,424,0.453125
1500387877.82978,430,0.78125
1500387880.5962415,439,0.6796875
1500387881.194628,441,0.7421875
1500387881.4846032,442,0.8203125
1500387882.3958793,445,0.7578125
1500387884.192796,451,0.7265625
1500387887.188364,460,0.703125
1500387888.1276696,463,0.78125
1500387888.4265661,464,0.7890625
1500387891.539751,474,0.7734375
1500387896.8693342,491,0.8046875
1500387897.49814,493,0.7734375
1500387905.3620365,507,0.7578125
1500387906.9967465,512,0.671875
1500387907.6207814,514,0.765625
1500387908.5584238,517,0.7578125
1500387911.0864372,525,0.7578125
1500387913.0058298,531,0.7578125
1500387913.652843,533,0.75
1500387914.5847034,536,0.71875
1500387916.729598,542,0.671875
1500387918.3898954,547,0.734375
1500387921.6892807,557,0.703125
1500387923.587847,563,0.7421875
1500387925.4862697,569,0.8046875
1500387926.7974558,573,0.765625
1500387929.0093808,579,0.6171875
1500387929.7958462,581,0.7265625
1500387930.1838675,582,0.671875
1500387930.852419,584,0.765625
1500387931.6255817,586,0.65625
1500387932.0657387,587,0.7421875
1500387933.766154,592,0.765625
1500387934.1989427,593,0.75
1500387937.2419477,602,0.7265625
1500387939.5405545,608,0.6875
1500387940.1728697,610,0.7578125
1500387941.986301,615,0.703125
1500387943.7070038,620,0.7265625
1500387944.3580477,622,0.734375
1500387948.1601508,634,0.7265625
1500387950.3688185,641,0.7578125
1500387950.678547,642,0.7265625
1500387951.3122532,644,0.703125
1500387951.968602,646,0.78125
1500387952.2892175,647,0.7578125
1500387952.9192026,649,0.796875
1500387956.7181263,661,0.78125
1500387957.67933,664,0.796875
1500387958.985933,668,0.71875
1500387959.9283879,671,0.75
1500387961.0674973,674,0.75
1500387965.925337,678,0.734375
1500387966.2500029,679,0.7421875
1500387967.5252757,683,0.765625
1500387969.435379,688,0.71875
1500387973.422835,699,0.7265625
1500387974.749944,703,0.7265625
1500387975.7553885,706,0.703125
1500387978.518392,714,0.7109375
1500387979.8139691,718,0.7734375
1500387980.7832122,721,0.7578125
1500387981.1012633,722,0.7265625
1500387981.5106897,723,0.7109375
1500387983.844064,730,0.8125
1500387986.033738,736,0.578125
1500387986.7043583,738,0.734375
1500387987.0567467,739,0.578125
1500387988.3636699,743,0.78125
1500387989.6226306,747,0.71875
1500387990.879972,751,0.671875
1500387991.1924276,752,0.75
1500387992.5958207,756,0.7265625
1500387995.4214995,765,0.6796875
1500387996.6825283,769,0.7421875
1500387997.0003073,770,0.828125
1500387997.316048,771,0.75
1500387997.9491313,773,0.8203125
1500387998.274001,774,0.7109375
